sex, bp_type, Age (years),Height (cm),P50,P75,P90,P95,P97,P99,P99 + 5
boys,diastolic,15.5,170,68.7,73.7,78.1,80.8,82.5,85.8,90.8
boys,diastolic,15.5,175,69.1,74.1,78.5,81.2,83,86.3,91.3
boys,diastolic,15.5,180,69.4,74.4,78.9,81.6,83.4,86.7,91.7
boys,diastolic,15.5,185,69.8,74.8,79.3,82,83.8,87.1,92.1
boys,diastolic,15.5,187,69.9,75,79.5,82.2,84,87.3,92.3
boys,diastolic,16.5,166,69.5,74.5,79,81.7,83.5,86.8,91.8
boys,diastolic,16.5,169,69.6,74.7,79.2,81.9,83.7,87,92
boys,diastolic,16.5,173,70,75,79.6,82.3,84.1,87.4,92.4
boys,diastolic,16.5,178,70.3,75.4,80,82.7,84.5,87.9,92.9
boys,diastolic,16.5,182,70.7,75.8,80.4,83.1,84.9,88.3,93.3
boys,diastolic,16.5,186,71,76.1,80.7,83.5,85.3,88.7,93.7
boys,diastolic,16.5,189,71.2,76.3,81,83.7,85.5,88.9,93.9
boys,diastolic,17.5,167,70.8,75.9,80.5,83.3,85,88.4,93.4
boys,diastolic,17.5,170,70.9,76.1,80.7,83.5,85.3,88.7,93.7
boys,diastolic,17.5,174,71.3,76.4,81.1,83.9,85.7,89.1,94.1
boys,diastolic,17.5,179,71.6,76.8,81.5,84.3,86.1,89.5,94.5
boys,diastolic,17.5,183,72,77.2,81.9,84.7,86.5,90,95
boys,diastolic,17.5,187,72.3,77.5,82.2,85.1,86.9,90.4,95.4
boys,diastolic,17.5,189,72.5,77.7,82.5,85.3,87.1,90.6,95.6



girls,systolic,5.5,107,96.1,101.2,106,109,110.9,114.8,119.8
girls,systolic,5.5,108,96.5,101.6,106.4,109.4,111.4,115.2,120.2
girls,systolic,5.5,111,97.1,102.3,107.1,110.1,112.1,116,121
girls,systolic,5.5,114,97.9,103,107.9,111,113,116.9,121.9
girls,systolic,5.5,117,98.6,103.8,108.7,111.8,113.8,117.8,122.8
girls,systolic,5.5,120,99.3,104.5,109.5,112.6,114.6,118.6,123.6
girls,systolic,5.5,122,99.7,104.9,109.9,113,115.1,119,124
girls,systolic,6.5,112,97,102.1,106.9,109.9,111.9,115.8,120.8
girls,systolic,6.5,114,97.4,102.5,107.4,110.4,112.4,116.3,121.3
girls,systolic,6.5,117,98.1,103.3,108.2,111.2,113.3,117.2,122.2
girls,systolic,6.5,121,98.9,104.2,109.1,112.2,114.2,118.2,123.2
girls,systolic,6.5,124,99.8,105,110,113.1,115.2,119.2,124.2
girls,systolic,6.5,127,100.5,105.8,110.9,114,116,120.1,125.1
girls,systolic,6.5,129,101,106.3,111.4,114.5,116.6,120.6,125.6
girls,systolic,7.5,118,98,103.2,108.1,111.1,113.1,117,122
girls,systolic,7.5,120,98.5,103.7,108.6,111.6,113.7,117.6,122.6
girls,systolic,7.5,123,99.3,104.5,109.5,112.6,114.6,118.6,123.6
girls,systolic,7.5,127,100.2,105.5,110.5,113.6,115.7,119.7,124.7
